Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total
1999,20;16a;1;1;;;;;2000;16a;1;1;;;;;2001;16a;1;1;0,5;2;0;0,000327598;2002;16a;1;1;;;;;2003;41;1;1;22;5;30;4,465306071;2005;41;1;1;18;4;0;3,778254724;2006;41;1;1;17;4;80;0,650926086;2007;41;1;1;;;;;2008;41;1;1;;;;;2009;41;1;1;;;;
1999,20;16b;1;1;;;;;2000;16b;1;1;;;;;2001;16b;1;1;3,0;2;0;0,035181672;2002;16b;1;1;3,5;3;50;0,026303746;2003;44;1;1;41;7;70;9,716662462;2005;44;1;1;;;;;2006;44;1;1;;;;;2007;44;1;1;;;;;2008;44;1;1;;;;;2009;44;1;1;;;;
1999,20;16c;1;1;;;;;2000;16c;1;1;;;;;2001;16c;1;1;3,0;2;0;0,035181672;2002;16c;1;1;3,0;2;0;0,035181672;2003;46;1;1;20;4;90;0,49741432;2005;46;1;1;21;5;90;0,564966055;2006;46;1;1;;;;;2007;46;1;1;;;;;2008;46;1;1;;;;;2009;46;1;1;;;;
1999,20;16d;1;1;;;;;2000;16d;1;1;;;;;2001;16d;1;1;3,0;2;0;0,035181672;2002;16d;1;1;;;;;2003;49;1;1;36;6;0;23,06638426;2005;49;1;1;36;6;0;23,06638426;2006;49;1;1;37;6;5;23,53748741;2007;49;1;1;37;6;0;24,77630254;2008;49;1;1;42;7;0;34,49138578;2009;49;1;1;44;7;0;38,94408292
1999,20;16e;1;1;3,5;3;0;0,052607491;2000;16e;1;1;3,5;3;0;0,052607491;2001;16e;1;1;3,5;3;0;0,052607491;2002;16e;1;1;;;;;2003;50;1;1;20;4;30;3,481900243;2005;50;1;1;23;5;0;7,163737236;2006;50;1;1;24;5;5;7,605100225;2007;50;1;1;27;5;20;8,709222926;2008;50;1;1;27;5;0;10,88652866;2009;50;1;1;27;5;0;10,88652866
1999,20;17;1;1;3;2;0;0,035181672;2000;17;1;1;4;3;0;0,07454295;2001;17;1;1;;;;;2002;17;1;1;;;;;2003;51;1;1;12;4;0;1,311272786;2005;51;1;1;14;4;0;1,960758782;2006;51;1;1;14;4;10;1,764682904;2007;51;1;1;14;4;10;1,764682904;2008;51;1;1;15;4;0;2,34762206;2009;51;1;1;15;4;0;2,34762206
1999,20;18;1;1;6;3;0;0,214785401;2000;18;1;1;3;2;0;0,035181672;2001;18;1;1;4,5;3;30;0,070959851;2002;18;1;1;5,5;3;10;0,154034898;2003;52;1;1;8;3;0;0,455087453;2005;52;1;1;8;3;0;0,455087453;2006;52;1;1;7;3;5;0,305112138;2007;52;1;1;9;3;0;0,618875008;2008;52;1;1;13;4;0;1,615928517;2009;52;1;1;13;4;0;1,615928517
1999,20;19;1;1;4;3;0;0,07454295;2000;19;1;1;4,5;3;0;0,101371216;2001;19;1;1;6,0;3;10;0,193306861;2002;19;1;1;6,5;3;10;0,238218983;2003;53;1;1;18;4;10;3,400429251;2005;53;1;1;23;5;20;5,730989789;2006;53;1;1;25;5;10;8,014859761;2007;53;1;1;27;5;20;8,709222926;2008;53;1;1;27;5;15;9,253549358;2009;53;1;1;23;5;15;6,089176651
1999,20;20;1;1;;;;;2000;20;1;1;2,5;2;0;0,021860164;2001;20;1;1;;;;;2002;20;1;1;;;;;2003;54;1;1;22;5;0;6,379008673;2005;54;1;1;26;5;0;9,86530312;2006;54;1;1;28;5;0;11,97050459;2007;54;1;1;29;5;10;11,8067748;2008;54;1;1;32;6;0;16,96178051;2009;54;1;1;36;6;0;23,06638426
1999,20;21;1;1;;;;;2000;21;1;1;2;2;0;0,012210074;2001;21;1;1;4,0;3;0;0,07454295;2002;21;1;1;4,5;3;0;0,101371216;2003;57;1;1;21;5;99;0,056496606;2005;57;1;1;25;5;99;0,089053997;2006;57;1;1;15;4;0;2,34762206;2007;57;1;1;18;4;0;3,778254724;2008;57;1;1;21;5;0;5,649660552;2009;57;1;1;23;5;0;7,163737236
1999,20;22;1;1;8;3;0;0,455087453;2000;22;1;1;8;3;0;0,455087453;2001;22;1;1;9,0;3;5;0,587931258;2002;22;1;1;10,5;4;0;0,92540974;2003;58;1;1;14;4;30;1,372531147;2005;58;1;1;14;4;30;1,372531147;2006;58;1;1;10;3;30;0,570332389;2007;58;1;1;10;3;40;0,488856333;2008;58;1;1;10;3;50;0,407380278;2009;58;1;1;10;3;50;0,407380278
1999,20;23;1;1;8;3;0;0,455087453;2000;23;1;1;7;3;60;0,128468269;2001;23;1;1;7,0;3;0;0,321170672;2002;23;1;1;8,5;3;0;0,533105781;2003;60;1;1;25;5;100;;2005;60;1;1;25;5;100;;2006;60;1;1;;;;;2007;60;1;1;;;;;2008;60;1;1;;;;;2009;60;1;1;;;;
1999,20;24;1;1;7;3;0;0,321170672;2000;24;1;1;6;3;10;0,193306861;2001;24;1;1;3,0;2;15;0,029904421;2002;24;1;1;;;;;2003;61;1;1;18;4;80;0,755650945;2005;61;1;1;18,5;4;10;3,652504135;2006;61;1;1;19;4;5;4,13333399;2007;61;1;1;19;4;2;4,263860327;2008;61;1;1;20;4;0;4,974143204;2009;61;1;1;18;4;0;3,778254724
1999,20;26;1;1;3;2;0;0,035181672;2000;26;1;1;4,5;3;0;0,101371216;2001;26;1;1;5,0;3;0;0,133457107;2002;26;1;1;6,0;3;0;0,214785401;2003;62;1;1;16,5;4;20;2,40853564;2005;62;1;1;19;4;15;3,698246202;2006;62;1;1;28;5;20;9,576403671;2007;62;1;1;19;4;20;3,480702307;2008;62;1;1;21;5;20;4,519728441;2009;62;1;1;21;5;10;5,084694497
1999,20;26a;1;1;;;;;2000;26a;1;1;;;;;2001;26a;1;1;;;;;2002;26a;1;1;0,5;2;0;0,000327598;2003;63;1;1;32;6;0;16,96178051;2005;63;1;1;28;5;3;11,61138945;2006;63;1;1;28,5;5;10;11,28281818;2007;63;1;1;29;5;5;12,46270673;2008;63;1;1;33;6;10;16,54222365;2009;63;1;1;33;6;10;16,54222365
1999,20;26b;1;1;;;;;2000;26b;1;1;;;;;2001;26b;1;1;;;;;2002;26b;1;1;0,5;2;0;0,000327598;2003;64;1;1;25;5;20;7,124319787;2005;64;1;1;27;5;5;10,34220222;2006;64;1;1;27;5;10;9,797875791;2007;64;1;1;28,5;5;2;12,28573535;2008;64;1;1;28;5;0;11,97050459;2009;64;1;1;29;5;0;13,11863866
1999,20;26c;1;1;;;;;2000;26c;1;1;;;;;2001;26c;1;1;;;;;2002;26c;1;1;0,8;2;0;0,001117107;2003;66;1;1;20;4;90;0,49741432;2005;66;1;1;20;4;95;0,24870716;2006;66;1;1;20;4;80;0,994828641;2007;66;1;1;15;4;0;2,34762206;2008;66;1;1;18,5;4;0;4,058337927;2009;66;1;1;20;4;40;2,984485923
1999,20;26d;1;1;;;;;2000;26d;1;1;;;;;2001;26d;1;1;;;;;2002;26d;1;1;2,0;2;0;0,012210074;2003;67;1;1;10;3;90;0,081476056;2005;67;1;1;5;3;95;0,006672855;2006;67;1;1;5,5;3;80;0,034229977;2007;67;1;1;7;3;0;0,321170672;2008;67;1;1;7;3;0;0,321170672;2009;67;1;1;9;3;0;0,618875008
1999,20;27;1;1;3;2;25;0,026386254;2000;27;1;1;3,5;3;0;0,052607491;2001;27;1;1;3,0;2;0;0,035181672;2002;27;1;1;;;;;2003;68;1;1;18;4;20;3,022603779;2005;68;1;1;25,5;5;1;9,283998491;2006;68;1;1;26;5;2;9,667997058;2007;68;1;1;27,5;5;0;11,42058437;2008;68;1;1;28;5;0;11,97050459;2009;68;1;1;29;5;40;7,871183199
1999,20;28;1;1;2;2;25;0,009157555;2000;28;1;1;3,5;3;0;0,052607491;2001;28;1;1;;;;;2002;28;1;1;;;;;2003;69;1;1;23;5;0;7,163737236;2005;69;1;1;;;;;2006;69;1;1;;;;;2007;69;1;1;;;;;2008;69;1;1;;;;;2009;69;1;1;;;;
1999,20;29;1;1;7;3;0;0,321170672;2000;29;1;1;5;3;10;0,120111397;2001;29;1;1;;;;;2002;29;1;1;;;;;2003;70;1;1;13;4;100;;2005;70;1;1;;;;;2006;70;1;1;;;;;2007;70;1;1;;;;;2008;70;1;1;;;;;2009;70;1;1;;;;
1999,20;29a;1;1;;;;;2000;29a;1;1;;;;;2001;29a;1;1;1,0;2;0;0,002;2002;29a;1;1;4,0;3;0;0,07454295;2003;71;1;1;28;5;0;11,97050459;2005;71;1;1;29;5;0;13,11863866;2006;71;1;1;30;5;10;12,89908724;2007;71;1;1;34;6;10;17,88267479;2008;71;1;1;34;6;5;18,87615672;2009;71;1;1;34;6;10;17,88267479
1999,20;29b;1;1;;;;;2000;29b;1;1;;;;;2001;29b;1;1;2,0;2;0;0,012210074;2002;29b;1;1;4,0;3;0;0,07454295;2003;73;1;1;9;3;100;;2005;73;1;1;;;;;2006;73;1;1;;;;;2007;73;1;1;;;;;2008;73;1;1;;;;;2009;73;1;1;;;;
1999,20;30;1;1;7;3;12;0,282630191;2000;30;1;1;;;;;2001;30;1;1;;;;;2002;30;1;1;;;;;2003;76;1;1;29;5;0;13,11863866;2005;76;1;1;33;6;0;18,3802485;2006;76;1;1;35;6;10;19,28812895;2007;76;1;1;38,5;6;5;26,1099539;2008;76;1;1;40;6;0;30,36732749;2009;76;1;1;40;6;20;24,29386199
1999,20;31;1;1;5;3;0;0,133457107;2000;31;1;1;5;3;0;0,133457107;2001;31;1;1;7,0;3;0;0,321170672;2002;31;1;1;6,0;3;0;0,214785401;2003;77;1;1;13;4;0;1,615928517;2005;77;1;1;16,5;4;0;3,01066955;2006;77;1;1;19;4;20;3,480702307;2007;77;1;1;22;5;10;5,741107806;2008;77;1;1;22;5;20;5,103206938;2009;77;1;1;24;5;10;7,204831792
1999,20;33;1;1;;;;;2000;33;1;1;2;2;0;0,012210074;2001;33;1;1;;;;;2002;33;1;1;;;;;2003;78;1;1;30;5;40;8,599391491;2005;78;1;1;30,5;6;0;14,96416804;2006;78;1;1;33;6;0;18,3802485;2007;78;1;1;34;6;0;19,86963865;2008;78;1;1;38;6;0;26,56226975;2009;78;1;1;35;6;0;21,43125439
1999,20;34;1;1;;;;;2000;34;1;1;3;2;0;0,035181672;2001;34;1;1;5,0;3;0;0,133457107;2002;34;1;1;;;;;2003;81;1;1;35;6;0;21,43125439;2005;81;1;1;34,5;6;0;20,64133745;2006;81;1;1;35;6;0;21,43125439;2007;81;1;1;35;6;0;21,43125439;2008;81;1;1;33;6;0;18,3802485;2009;81;1;1;35;6;0;21,43125439
1999,20;36;1;1;5;3;12;0,117442254;2000;36;1;1;5;3;10;0,120111397;2001;36;1;1;5,0;3;0;0,133457107;2002;36;1;1;5,0;3;0;0,133457107;2003;82;1;1;32;6;10;15,26560246;2005;82;1;1;32;6;10;15,26560246;2006;82;1;1;34;6;10;17,88267479;2007;82;1;1;;;;;2008;82;1;1;;;;;2009;82;1;1;;;;
1999,20;37;1;1;;;;;2000;37;1;1;2;2;70;0,003663022;2001;37;1;1;2,0;2;0;0,012210074;2002;37;1;1;2,0;2;0;0,012210074;2003;85;1;1;21;5;0;5,649660552;2005;85;1;1;21;5;0;5,649660552;2006;85;1;1;22;5;5;6,060058239;2007;85;1;1;22;5;0;6,379008673;2008;85;1;1;18;4;0;3,778254724;2009;85;1;1;18;4;0;3,778254724
1999,20;38;1;1;4;3;0;0,07454295;2000;38;1;1;4;3;0;0,07454295;2001;38;1;1;;;;;2002;38;1;1;;;;;2003;86;1;1;24;5;0;8,005368657;2005;86;1;1;26,5;5;0;10,36816086;2006;86;1;1;28;5;0;11,97050459;2007;86;1;1;;;;;2008;86;1;1;;;;;2009;86;1;1;;;;
1999,20;39;1;1;6;3;12;0,189011153;2000;39;1;1;6;3;0;0,214785401;2001;39;1;1;6,0;3;0;0,214785401;2002;39;1;1;6,5;3;80;0,052937552;2003;87;1;1;20;4;0;4,974143204;2005;87;1;1;22;5;0;6,379008673;2006;87;1;1;24;5;0;8,005368657;2007;87;1;1;30;5;0;14,33231915;2008;87;1;1;31;6;0;15,61291576;2009;87;1;1;31;6;20;12,49033261
1999,20;40;1;1;6;3;12;0,189011153;2000;40;1;1;6;3;0;0,214785401;2001;40;1;1;3,0;2;0;0,035181672;2002;40;1;1;;;;;2003;89;1;1;20;4;0;4,974143204;2005;89;1;1;18;4;0;3,778254724;2006;89;1;1;18;4;50;1,889127362;2007;89;1;1;20;4;25;3,730607403;2008;89;1;1;16;4;40;1,666995398;2009;89;1;1;16;4;20;2,22266053
1999,20;41;1;1;6;3;0;0,214785401;2000;41;1;1;6,5;3;0;0,264687759;2001;41;1;1;;;;;2002;41;1;1;;;;;2003;90;1;1;11;4;40;0,626925817;2005;90;1;1;9;3;0;0,618875008;2006;90;1;1;9;3;0;0,618875008;2007;90;1;1;11;4;0;1,044876361;2008;90;1;1;12;4;20;1,049018228;2009;90;1;1;15;4;60;0,939048824
1999,20;42;1;1;6;3;12;0,189011153;2000;42;1;1;6;3;10;0,193306861;2001;42;1;1;;;;;2002;42;1;1;;;;;2003;91;1;1;10;3;100;;2005;91;1;1;10;3;100;;2006;91;1;1;10;3;100;;2007;91;1;1;10;3;100;;2008;91;1;1;10;3;100;;2009;91;1;1;;;;
1999,20;43;1;1;5;3;0;0,133457107;2000;43;1;1;5;3;50;0,066728554;2001;43;1;1;6,0;3;0;0,214785401;2002;43;1;1;8,0;3;20;0,364069962;2003;94;1;1;8;3;80;0,091017491;2005;94;1;1;7,5;3;50;0,192269279;2006;94;1;1;8;3;60;0,182034981;2007;94;1;1;10;3;20;0,651808444;2008;94;1;1;15;4;0;2,34762206;2009;94;1;1;18;4;0;3,778254724
1999,20;44;1;1;6;3;0;0,214785401;2000;44;1;1;5;3;0;0,133457107;2001;44;1;1;6,0;3;30;0,150349781;2002;44;1;1;8,0;3;10;0,409578707;2003;96;1;1;19;4;25;3,263158413;2005;96;1;1;10;3;90;0,081476056;2006;96;1;1;;;;;2007;96;1;1;;;;;2008;96;1;1;;;;;2009;96;1;1;;;;
1999,20;45;1;1;7;3;0;0,321170672;2000;45;1;1;8;3;0;0,455087453;2001;45;1;1;8,5;3;5;0,506450492;2002;45;1;1;10,0;3;10;0,7332845;2003;97;1;1;8;3;5;0,43233308;2005;97;1;1;12;4;10;1,180145507;2006;97;1;1;12;4;80;0,262254557;2007;97;1;1;15;4;25;1,760716545;2008;97;1;1;18;4;10;3,400429251;2009;97;1;1;;;;
1999,20;46;1;1;7;3;0;0,321170672;2000;46;1;1;9;3;20;0,495100007;2001;46;1;1;8,0;3;15;0,386824335;2002;46;1;1;9,0;3;0;0,618875008;2003;98;1;1;24;5;10;7,204831792;2005;98;1;1;30;5;0;14,33231915;2006;98;1;1;;;;;2007;98;1;1;;;;;2008;98;1;1;;;;;2009;98;1;1;;;;
1999,20;47;1;1;9;3;0;0,618875008;2000;47;1;1;9;3;50;0,309437504;2001;47;1;1;10,0;3;0;0,814760556;2002;47;1;1;12,0;4;0;1,311272786;2003;103;1;1;24;5;10;7,204831792;2005;103;1;1;25;5;0;8,905399734;2006;103;1;1;25;5;0;8,905399734;2007;103;1;1;26;5;0;9,86530312;2008;103;1;1;27;5;0;10,88652866;2009;103;1;1;28;5;0;11,97050459
1999,20;48;1;1;5;3;0;0,133457107;2000;48;1;1;5,5;3;0;0,171149886;2001;48;1;1;5,0;3;0;0,133457107;2002;48;1;1;5,5;3;0;0,171149886;2003;104;1;1;34;6;0;19,86963865;2005;104;1;1;36;6;10;20,75974584;2006;104;1;1;37;6;10;22,29867229;2007;104;1;1;37;6;10;22,29867229;2008;104;1;1;37;6;10;22,29867229;2009;104;1;1;38;6;10;23,90604278
1999,20;;1;1;;;;;2000;;1;1;;;;;2001;;1;1;;;;;2002;;1;1;0,3;2;0;8,63608E-05;2003;105;1;1;45;7;5;39,23180247;2005;105;1;1;42;7;0;34,49138578;2006;105;1;1;42;7;5;32,76681649;2007;105;1;1;42;7;5;32,76681649;2008;105;1;1;42;7;15;29,31767791;2009;105;1;1;42;7;15;29,31767791
1999,20;;1;1;;;;;2000;;1;1;;;;;2001;;1;1;;;;;2002;;1;1;0,8;2;0;0,001117107;2003;106;1;1;21;5;0;5,649660552;2005;106;1;1;23;5;0;7,163737236;2006;106;1;1;20;4;0;4,974143204;2007;106;1;1;22;5;0;6,379008673;2008;106;1;1;20;4;0;4,974143204;2009;106;1;1;20;4;0;4,974143204
1999,20;49;1;1;5,5;3;0;0,171149886;2000;49;1;1;5;3;0;0,133457107;2001;49;1;1;4,0;3;0;0,07454295;2002;49;1;1;5,0;3;0;0,133457107;2003;107;1;1;15;4;95;0,117381103;2005;107;1;1;15;4;95;0,117381103;2006;107;1;1;;;;;2007;107;1;1;;;;;2008;107;1;1;;;;;2009;107;1;1;;;;
1999,20;50;1;1;7;3;12;0,282630191;2000;50;1;1;7,5;3;85;0,057680784;2001;50;1;1;7,0;3;0;0,321170672;2002;50;1;1;8,0;3;10;0,409578707;2003;108;1;1;21;5;40;3,389796331;2005;108;1;1;;;;;2006;108;1;1;;;;;2007;108;1;1;;;;;2008;108;1;1;;;;;2009;108;1;1;;;;
1999,20;51;1;1;8;3;12;0,400476958;2000;51;1;1;7;3;0;0,321170672;2001;51;1;1;10,0;3;0;0,814760556;2002;51;1;1;;;;;2003;109;1;1;25;5;5;8,460129748;2005;109;1;1;24;5;10;7,204831792;2006;109;1;1;24;5;10;7,204831792;2007;109;1;1;24;5;40;4,803221194;2008;109;1;1;18;4;0;3,778254724;2009;109;1;1;18;4;0;3,778254724
1999,20;52;1;1;7;3;0;0,321170672;2000;52;1;1;6;3;0;0,214785401;2001;52;1;1;7,0;3;0;0,321170672;2002;52;1;1;7,0;3;20;0,256936537;2003;110;1;1;15;4;100;;2005;110;1;1;15;4;100;;2006;110;1;1;;;;;2007;110;1;1;;;;;2008;110;1;1;;;;;2009;110;1;1;;;;
1999,20;53;1;1;3;2;0;0,035181672;2000;53;1;1;3;2;0;0,035181672;2001;53;1;1;;;;;2002;53;1;1;;;;;2003;112;1;1;22;5;0;6,379008673;2005;112;1;1;26;5;0;9,86530312;2006;112;1;1;27;5;0;10,88652866;2007;112;1;1;28;5;0;11,97050459;2008;112;1;1;29;5;0;13,11863866;2009;112;1;1;30;5;0;14,33231915
1999,20;55;1;1;3;2;0;0,035181672;2000;55;1;1;3;2;0;0,035181672;2001;55;1;1;3,2;3;0;0,041636234;2002;55;1;1;3,5;3;0;0,052607491;2003;113;1;1;12;4;100;;2005;113;1;1;;;;;2006;113;1;1;;;;;2007;113;1;1;;;;;2008;113;1;1;;;;;2009;113;1;1;;;;
1999,20;56;1;1;5;3;12;0,117442254;2000;56;1;1;5,5;3;0;0,171149886;2001;56;1;1;4,9;3;0;0,126602349;2002;56;1;1;;;;;2003;117;1;1;19;4;35;2,828070625;2005;117;1;1;20;4;10;4,476728884;2006;117;1;1;17;4;10;2,929167386;2007;117;1;1;18;4;20;3,022603779;2008;117;1;1;22;5;0;6,379008673;2009;117;1;1;23;5;0;7,163737236
1999,20;57;1;1;4;3;0;0,07454295;2000;57;1;1;5;3;50;0,066728554;2001;57;1;1;;;;;2002;57;1;1;;;;;2003;1a;1;1;;;;;2005;1a;1;1;0,5;2;0;0,000327598;2006;1a;1;1;1;2;0;0,002;2007;1a;1;1;1,5;2;0;0,005762729;2008;1a;1;1;;;;;2009;118;1;2;14;4;100;
1999,20;58;1;1;9;3;0;0,618875008;2000;58;1;1;9;3;70;0,185662503;2001;58;1;1;13,5;4;0;1,783204418;2002;58;1;1;13,0;4;10;1,454335665;2003;1b;1;1;;;;;2005;1b;1;1;0,5;2;0;0,000327598;2006;1b;1;1;4;3;0;0,07454295;2007;1b;1;1;4,5;3;0;0,101371216;2008;1b;1;1;5;3;0;0,133457107;2009;119;1;2;14;4;80;0,392151756
